record_id,abstract_id,abstract_uri,weak_labels,weak_category,weak_severity,annotator_1_labels,annotator_2_labels,final_adjudicated_labels,annotator_1_category,annotator_2_category,final_adjudicated_category,inclusion_flag,exclusion_reason,confidence,adjudication_notes,comments,validation_status,created_at_utc
abstract_12154685,12154685,http://example.org/abstract12154685,cybertraining; dataprotection; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_1780326,1780326,http://example.org/abstract1780326,cybertraining; dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55287274,55287274,http://example.org/abstract55287274,cybersecurity; dataprotection; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_46416138,46416138,http://example.org/abstract46416138,cybersecurity; dataprotection; digitalsecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_34705048,34705048,http://example.org/abstract34705048,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_15147420,15147420,http://example.org/abstract15147420,cyberdefense; cybersecurity; dataprotection; digitalsecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_11001663,11001663,http://example.org/abstract11001663,cyberattack; cybersecurity; digitalsecurity; malware,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_9360447,9360447,http://example.org/abstract9360447,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62784226,62784226,http://example.org/abstract62784226,cyberattack; cybersecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_2507891,2507891,http://example.org/abstract2507891,dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_2336012,2336012,http://example.org/abstract2336012,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_10072577,10072577,http://example.org/abstract10072577,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33350135,33350135,http://example.org/abstract33350135,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_38140505,38140505,http://example.org/abstract38140505,cyberattack; cyberdefense; malware; networksecurity,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_195878358,195878358,http://example.org/abstract195878358,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_1970644,1970644,http://example.org/abstract1970644,cyberattack; cyberthreat; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_26360264,26360264,http://example.org/abstract26360264,cyberattack; dataprotection; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62767031,62767031,http://example.org/abstract62767031,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33956346,33956346,http://example.org/abstract33956346,dataprotection; digitalsecurity; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_69327826,69327826,http://example.org/abstract69327826,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55438969,55438969,http://example.org/abstract55438969,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_452479,452479,http://example.org/abstract452479,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16771768,16771768,http://example.org/abstract16771768,cyberthreat; dataprotection; digitalsecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62947419,62947419,http://example.org/abstract62947419,cyberattack; cybercrime; digitalsecurity; malware; phishing,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_61677655,61677655,http://example.org/abstract61677655,cyberattack; cyberawareness; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55434870,55434870,http://example.org/abstract55434870,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16458931,16458931,http://example.org/abstract16458931,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_31935131,31935131,http://example.org/abstract31935131,cyberthreat; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_61272462,61272462,http://example.org/abstract61272462,cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_10996018,10996018,http://example.org/abstract10996018,cyberattack; cyberawareness; cybersecurity; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_9878629,9878629,http://example.org/abstract9878629,cyberattack; cyberthreat; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62574382,62574382,http://example.org/abstract62574382,dataprotection; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_10330246,10330246,http://example.org/abstract10330246,dataprotection; digitalsecurity; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62203841,62203841,http://example.org/abstract62203841,cyberthreat; cyberworld; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62115486,62115486,http://example.org/abstract62115486,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53879407,53879407,http://example.org/abstract53879407,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_3703392,3703392,http://example.org/abstract3703392,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_70273284,70273284,http://example.org/abstract70273284,cyberattack; cyberawareness; cyberworld; dataprotection,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_214764742,214764742,http://example.org/abstract214764742,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_14124597,14124597,http://example.org/abstract14124597,cyberattack; cyberthreat; dataprotection,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62569575,62569575,http://example.org/abstract62569575,cyberattack; cyberdefense; cybersecurity; cyberthreat; hacking; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_8348265,8348265,http://example.org/abstract8348265,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_56430834,56430834,http://example.org/abstract56430834,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62221466,62221466,http://example.org/abstract62221466,cyberattack; cyberthreat; digitalsecurity; hacking; phishing,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_22670395,22670395,http://example.org/abstract22670395,cyberattack; dataprotection; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_7286410,7286410,http://example.org/abstract7286410,cloudsecurity; cybersecurity; cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_3853985,3853985,http://example.org/abstract3853985,cloudsecurity; cybersecurity; dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_36144106,36144106,http://example.org/abstract36144106,cyberattack; cyberthreat; dataprotection; digitalsecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55983742,55983742,http://example.org/abstract55983742,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_8439362,8439362,http://example.org/abstract8439362,cyberattack; cybersecurity; cyberworld,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_38229415,38229415,http://example.org/abstract38229415,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_10834815,10834815,http://example.org/abstract10834815,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62574679,62574679,http://example.org/abstract62574679,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_55435224,55435224,http://example.org/abstract55435224,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_69705437,69705437,http://example.org/abstract69705437,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62243582,62243582,http://example.org/abstract62243582,cloudsecurity; cyberattack; cyberawareness; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17080069,17080069,http://example.org/abstract17080069,cloudsecurity; dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62532258,62532258,http://example.org/abstract62532258,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62190582,62190582,http://example.org/abstract62190582,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_29579806,29579806,http://example.org/abstract29579806,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54449517,54449517,http://example.org/abstract54449517,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_7499590,7499590,http://example.org/abstract7499590,cyberattack; cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17844093,17844093,http://example.org/abstract17844093,cyberattack; cybertraining; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_212957132,212957132,http://example.org/abstract212957132,cloudsecurity; cybercrime; cybersecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_46353875,46353875,http://example.org/abstract46353875,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_17151778,17151778,http://example.org/abstract17151778,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_86457433,86457433,http://example.org/abstract86457433,cybersecurity; dataprotection; digitalsecurity,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62573077,62573077,http://example.org/abstract62573077,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54904936,54904936,http://example.org/abstract54904936,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33600953,33600953,http://example.org/abstract33600953,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_60687479,60687479,http://example.org/abstract60687479,cyberthreat; digitalsecurity; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_5790894,5790894,http://example.org/abstract5790894,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_36608732,36608732,http://example.org/abstract36608732,cyberattack; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_2588218,2588218,http://example.org/abstract2588218,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_59767647,59767647,http://example.org/abstract59767647,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62680907,62680907,http://example.org/abstract62680907,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54577431,54577431,http://example.org/abstract54577431,cyberthreat; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_6908432,6908432,http://example.org/abstract6908432,cyberattack; cyberawareness; cybersecurity; cyberworld,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_30324719,30324719,http://example.org/abstract30324719,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_59721388,59721388,http://example.org/abstract59721388,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_31018027,31018027,http://example.org/abstract31018027,cyberattack; cyberawareness; cybersecurity; cyberthreat,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_174809966,174809966,http://example.org/abstract174809966,cyberattack; cyberthreat; iotsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62657748,62657748,http://example.org/abstract62657748,dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_70236279,70236279,http://example.org/abstract70236279,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_15454254,15454254,http://example.org/abstract15454254,cyberawareness; cyberthreat; dataprotection; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53940145,53940145,http://example.org/abstract53940145,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_46957307,46957307,http://example.org/abstract46957307,cyberdefense; digitalsecurity; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53741610,53741610,http://example.org/abstract53741610,cybercrime; cyberthreat; cyberworld; dataprotection; digitalsecurity; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_64092430,64092430,http://example.org/abstract64092430,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62674539,62674539,http://example.org/abstract62674539,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62224580,62224580,http://example.org/abstract62224580,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_33497879,33497879,http://example.org/abstract33497879,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_15026572,15026572,http://example.org/abstract15026572,cyberawareness; cyberworld; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_196105692,196105692,http://example.org/abstract196105692,dataprotection; networksecurity; privacy,Network Attacks,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_155093469,155093469,http://example.org/abstract155093469,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_9719398,9719398,http://example.org/abstract9719398,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_3940319,3940319,http://example.org/abstract3940319,cyberattack; cyberdefense; cyberthreat; digitalsecurity; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_11955714,11955714,http://example.org/abstract11955714,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16233643,16233643,http://example.org/abstract16233643,cloudsecurity; cybersecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16779538,16779538,http://example.org/abstract16779538,cyberattack; cybersecurity; digitalsecurity; networksecurity; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62802992,62802992,http://example.org/abstract62802992,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_6626532,6626532,http://example.org/abstract6626532,cyberattack; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62597804,62597804,http://example.org/abstract62597804,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_62581609,62581609,http://example.org/abstract62581609,cyberattack; cyberthreat; malware; privacy,Malware,Critical,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_102351344,102351344,http://example.org/abstract102351344,dataprotection; digitalsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_208131832,208131832,http://example.org/abstract208131832,cyberattack; cyberawareness; cybercrime; cyberthreat; hacking; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_51692559,51692559,http://example.org/abstract51692559,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_824829,824829,http://example.org/abstract824829,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_12836653,12836653,http://example.org/abstract12836653,cyberdefense; cyberthreat; cyberworld; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_54221143,54221143,http://example.org/abstract54221143,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_61674711,61674711,http://example.org/abstract61674711,cyberattack; cybersecurity; cyberworld; dataprotection; privacy,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_12195710,12195710,http://example.org/abstract12195710,cyberattack; dataprotection; digitalsecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_56463380,56463380,http://example.org/abstract56463380,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_64849712,64849712,http://example.org/abstract64849712,cybersecurity; dataprotection; iotsecurity; privacy,Data Breach,Medium,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_16676961,16676961,http://example.org/abstract16676961,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_69747344,69747344,http://example.org/abstract69747344,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_203532,203532,http://example.org/abstract203532,cyberattack; cyberthreat; dataprotection; networksecurity,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_53777868,53777868,http://example.org/abstract53777868,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_182212098,182212098,http://example.org/abstract182212098,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_18784858,18784858,http://example.org/abstract18784858,,Uncategorized,Unknown,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
abstract_196047053,196047053,http://example.org/abstract196047053,cyberattack; cybertraining; cyberworld; dataprotection,Network Attacks,High,,,,,,,PENDING,,,,,NOT_REVIEWED,2026-03-21T20:07:08.886069+00:00
